subject_id,itemB,causal_itemA,similar_itemA,explanation_type,satisfactory,causal_itemA_causal_distance,causal_itemA_freesort_distance,causal_itemA_freesort_minus_causal,similar_itemA_causal_distance,similar_itemA_freesort_distance,similar_itemA_freesort_minus_causal
subj_18,see something,take a walk,hear something,Intrinsic,25,0.17,0.86,0.69,0.46,0.05,-0.41
subj_18,choose what to do,feel scared,remember something,Direct,59,0.16,0.78,0.62,0.1,0.42,0.32
subj_18,choose what to do,feel scared,remember something,Intrinsic,74,0.16,0.78,0.62,0.1,0.42,0.32
subj_18,think about something,take a walk,remember something,Direct,76,0.15,0.86,0.72,0.01,0,-0.01
subj_18,think about something,take a walk,remember something,Intrinsic,62,0.15,0.86,0.72,0.01,0,-0.01
subj_18,feel scared,see something,become hungry,Direct,75,0.06,0.78,0.71,0.63,0.58,-0.05
subj_18,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_18,hear something,take a walk,see something,Direct,64,0.23,0.86,0.62,0.49,0.05,-0.44
subj_18,hear something,take a walk,see something,Intrinsic,14,0.23,0.86,0.62,0.49,0.05,-0.44
subj_18,take a walk,think about something,jump up and down,Direct,64,0.25,0.86,0.61,0.76,0.17,-0.59
subj_18,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_18,get sick,see something,get tired,Direct,74,0.4,0.95,0.55,0.42,0.37,-0.06
subj_18,get sick,see something,get tired,Intrinsic,58,0.4,0.95,0.55,0.42,0.37,-0.06
subj_18,jump up and down,think about something,sit down,Direct,56,0.39,0.99,0.6,1,0.3,-0.7
subj_18,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_18,remember something,take a walk,think about something,Direct,65,0.22,0.91,0.69,0,0,0
subj_18,remember something,take a walk,think about something,Intrinsic,76,0.22,0.91,0.69,0,0,0
subj_18,kick something,think about something,jump up and down,Direct,25,0.4,0.9,0.5,0.61,0.26,-0.35
subj_18,kick something,think about something,jump up and down,Intrinsic,15,0.4,0.9,0.5,0.61,0.26,-0.35
subj_18,become hungry,take a walk,experience pain,Direct,63,0.14,0.79,0.65,0.72,0.49,-0.22
subj_18,become hungry,take a walk,experience pain,Intrinsic,26,0.14,0.79,0.65,0.72,0.49,-0.22
subj_18,experience pain,kick something,feel scared,Direct,75,0.07,0.72,0.65,0.34,0.32,-0.02
subj_18,experience pain,kick something,feel scared,Intrinsic,53,0.07,0.72,0.65,0.34,0.32,-0.02
subj_19,feel scared,see something,become hungry,Direct,35,0.06,0.78,0.71,0.63,0.58,-0.05
subj_19,feel scared,see something,become hungry,Intrinsic,17,0.06,0.78,0.71,0.63,0.58,-0.05
subj_19,jump up and down,think about something,sit down,Direct,26,0.39,0.99,0.6,1,0.3,-0.7
subj_19,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_19,get sick,see something,get tired,Direct,26,0.4,0.95,0.55,0.42,0.37,-0.06
subj_19,get sick,see something,get tired,Intrinsic,3,0.4,0.95,0.55,0.42,0.37,-0.06
subj_19,become hungry,take a walk,experience pain,Direct,64,0.14,0.79,0.65,0.72,0.49,-0.22
subj_19,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_19,kick something,think about something,jump up and down,Direct,83,0.4,0.9,0.5,0.61,0.26,-0.35
subj_19,kick something,think about something,jump up and down,Intrinsic,67,0.4,0.9,0.5,0.61,0.26,-0.35
subj_19,sit down,experience pain,jump up and down,Direct,87,0.08,0.87,0.79,0.61,0.3,-0.31
subj_19,sit down,experience pain,jump up and down,Intrinsic,75,0.08,0.87,0.79,0.61,0.3,-0.31
subj_19,hear something,take a walk,see something,Direct,67,0.23,0.86,0.62,0.49,0.05,-0.44
subj_19,hear something,take a walk,see something,Intrinsic,37,0.23,0.86,0.62,0.49,0.05,-0.44
subj_19,get tired,jump up and down,feel scared,Direct,73,0.04,0.78,0.73,0.47,0.5,0.03
subj_19,get tired,jump up and down,feel scared,Intrinsic,14,0.04,0.78,0.73,0.47,0.5,0.03
subj_19,remember something,take a walk,think about something,Direct,58,0.22,0.91,0.69,0,0,0
subj_19,remember something,take a walk,think about something,Intrinsic,100,0.22,0.91,0.69,0,0,0
subj_19,experience pain,kick something,feel scared,Direct,86,0.07,0.72,0.65,0.34,0.32,-0.02
subj_19,experience pain,kick something,feel scared,Intrinsic,24,0.07,0.72,0.65,0.34,0.32,-0.02
subj_19,reach for something,become hungry,kick something,Direct,76,0.18,0.83,0.65,0.62,0.49,-0.14
subj_19,reach for something,become hungry,kick something,Intrinsic,39,0.18,0.83,0.65,0.62,0.49,-0.14
subj_19,think about something,take a walk,remember something,Direct,61,0.15,0.86,0.72,0.01,0,-0.01
subj_19,think about something,take a walk,remember something,Intrinsic,87,0.15,0.86,0.72,0.01,0,-0.01
subj_19,see something,take a walk,hear something,Direct,80,0.17,0.86,0.69,0.46,0.05,-0.41
subj_19,see something,take a walk,hear something,Intrinsic,60,0.17,0.86,0.69,0.46,0.05,-0.41
subj_19,choose what to do,feel scared,remember something,Direct,82,0.16,0.78,0.62,0.1,0.42,0.32
subj_19,choose what to do,feel scared,remember something,Intrinsic,88,0.16,0.78,0.62,0.1,0.42,0.32
subj_19,take a walk,think about something,jump up and down,Direct,75,0.25,0.86,0.61,0.76,0.17,-0.59
subj_19,take a walk,think about something,jump up and down,Intrinsic,21,0.25,0.86,0.61,0.76,0.17,-0.59
subj_20,sit down,experience pain,jump up and down,Direct,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_20,sit down,experience pain,jump up and down,Intrinsic,39,0.08,0.87,0.79,0.61,0.3,-0.31
subj_20,get sick,see something,get tired,Direct,69,0.4,0.95,0.55,0.42,0.37,-0.06
subj_20,get sick,see something,get tired,Intrinsic,52,0.4,0.95,0.55,0.42,0.37,-0.06
subj_20,think about something,take a walk,remember something,Direct,61,0.15,0.86,0.72,0.01,0,-0.01
subj_20,think about something,take a walk,remember something,Intrinsic,90,0.15,0.86,0.72,0.01,0,-0.01
subj_20,kick something,think about something,jump up and down,Direct,63,0.4,0.9,0.5,0.61,0.26,-0.35
subj_20,kick something,think about something,jump up and down,Intrinsic,8,0.4,0.9,0.5,0.61,0.26,-0.35
subj_20,hear something,take a walk,see something,Direct,60,0.23,0.86,0.62,0.49,0.05,-0.44
subj_20,hear something,take a walk,see something,Intrinsic,0,0.23,0.86,0.62,0.49,0.05,-0.44
subj_20,reach for something,become hungry,kick something,Direct,73,0.18,0.83,0.65,0.62,0.49,-0.14
subj_20,reach for something,become hungry,kick something,Intrinsic,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_20,choose what to do,feel scared,remember something,Direct,76,0.16,0.78,0.62,0.1,0.42,0.32
subj_20,choose what to do,feel scared,remember something,Intrinsic,60,0.16,0.78,0.62,0.1,0.42,0.32
subj_20,become hungry,take a walk,experience pain,Direct,59,0.14,0.79,0.65,0.72,0.49,-0.22
subj_20,become hungry,take a walk,experience pain,Intrinsic,8,0.14,0.79,0.65,0.72,0.49,-0.22
subj_20,get tired,jump up and down,feel scared,Direct,99,0.04,0.78,0.73,0.47,0.5,0.03
subj_20,get tired,jump up and down,feel scared,Intrinsic,40,0.04,0.78,0.73,0.47,0.5,0.03
subj_20,jump up and down,think about something,sit down,Direct,74,0.39,0.99,0.6,1,0.3,-0.7
subj_20,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_20,experience pain,kick something,feel scared,Direct,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_20,experience pain,kick something,feel scared,Intrinsic,69,0.07,0.72,0.65,0.34,0.32,-0.02
subj_20,feel scared,see something,become hungry,Direct,95,0.06,0.78,0.71,0.63,0.58,-0.05
subj_20,feel scared,see something,become hungry,Intrinsic,37,0.06,0.78,0.71,0.63,0.58,-0.05
subj_20,take a walk,think about something,jump up and down,Direct,43,0.25,0.86,0.61,0.76,0.17,-0.59
subj_20,take a walk,think about something,jump up and down,Intrinsic,7,0.25,0.86,0.61,0.76,0.17,-0.59
subj_20,see something,take a walk,hear something,Direct,86,0.17,0.86,0.69,0.46,0.05,-0.41
subj_20,see something,take a walk,hear something,Intrinsic,0,0.17,0.86,0.69,0.46,0.05,-0.41
subj_20,remember something,take a walk,think about something,Direct,60,0.22,0.91,0.69,0,0,0
subj_20,remember something,take a walk,think about something,Intrinsic,100,0.22,0.91,0.69,0,0,0
subj_21,see something,take a walk,hear something,Direct,57,0.17,0.86,0.69,0.46,0.05,-0.41
subj_21,see something,take a walk,hear something,Intrinsic,51,0.17,0.86,0.69,0.46,0.05,-0.41
subj_21,remember something,take a walk,think about something,Direct,31,0.22,0.91,0.69,0,0,0
subj_21,remember something,take a walk,think about something,Intrinsic,79,0.22,0.91,0.69,0,0,0
subj_21,choose what to do,feel scared,remember something,Direct,15,0.16,0.78,0.62,0.1,0.42,0.32
subj_21,choose what to do,feel scared,remember something,Intrinsic,16,0.16,0.78,0.62,0.1,0.42,0.32
subj_21,think about something,take a walk,remember something,Direct,21,0.15,0.86,0.72,0.01,0,-0.01
subj_21,think about something,take a walk,remember something,Intrinsic,74,0.15,0.86,0.72,0.01,0,-0.01
subj_21,get tired,jump up and down,feel scared,Direct,95,0.04,0.78,0.73,0.47,0.5,0.03
subj_21,get tired,jump up and down,feel scared,Intrinsic,0,0.04,0.78,0.73,0.47,0.5,0.03
subj_21,kick something,think about something,jump up and down,Direct,0,0.4,0.9,0.5,0.61,0.26,-0.35
subj_21,kick something,think about something,jump up and down,Intrinsic,12,0.4,0.9,0.5,0.61,0.26,-0.35
subj_21,take a walk,think about something,jump up and down,Direct,2,0.25,0.86,0.61,0.76,0.17,-0.59
subj_21,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_21,feel scared,see something,become hungry,Direct,54,0.06,0.78,0.71,0.63,0.58,-0.05
subj_21,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_21,get sick,see something,get tired,Direct,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_21,get sick,see something,get tired,Intrinsic,23,0.4,0.95,0.55,0.42,0.37,-0.06
subj_21,reach for something,become hungry,kick something,Direct,29,0.18,0.83,0.65,0.62,0.49,-0.14
subj_21,reach for something,become hungry,kick something,Intrinsic,25,0.18,0.83,0.65,0.62,0.49,-0.14
subj_21,become hungry,take a walk,experience pain,Direct,97,0.14,0.79,0.65,0.72,0.49,-0.22
subj_21,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_21,hear something,take a walk,see something,Direct,7,0.23,0.86,0.62,0.49,0.05,-0.44
subj_21,hear something,take a walk,see something,Intrinsic,26,0.23,0.86,0.62,0.49,0.05,-0.44
subj_21,sit down,experience pain,jump up and down,Direct,92,0.08,0.87,0.79,0.61,0.3,-0.31
subj_21,sit down,experience pain,jump up and down,Intrinsic,12,0.08,0.87,0.79,0.61,0.3,-0.31
subj_21,experience pain,kick something,feel scared,Direct,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_21,experience pain,kick something,feel scared,Intrinsic,0,0.07,0.72,0.65,0.34,0.32,-0.02
subj_21,jump up and down,think about something,sit down,Direct,7,0.39,0.99,0.6,1,0.3,-0.7
subj_21,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_22,remember something,take a walk,think about something,Direct,25,0.22,0.91,0.69,0,0,0
subj_22,remember something,take a walk,think about something,Intrinsic,77,0.22,0.91,0.69,0,0,0
subj_22,think about something,take a walk,remember something,Direct,48,0.15,0.86,0.72,0.01,0,-0.01
subj_22,think about something,take a walk,remember something,Intrinsic,93,0.15,0.86,0.72,0.01,0,-0.01
subj_22,kick something,think about something,jump up and down,Direct,50,0.4,0.9,0.5,0.61,0.26,-0.35
subj_22,kick something,think about something,jump up and down,Intrinsic,1,0.4,0.9,0.5,0.61,0.26,-0.35
subj_22,choose what to do,feel scared,remember something,Direct,90,0.16,0.78,0.62,0.1,0.42,0.32
subj_22,choose what to do,feel scared,remember something,Intrinsic,100,0.16,0.78,0.62,0.1,0.42,0.32
subj_22,experience pain,kick something,feel scared,Direct,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_22,experience pain,kick something,feel scared,Intrinsic,51,0.07,0.72,0.65,0.34,0.32,-0.02
subj_22,sit down,experience pain,jump up and down,Direct,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_22,sit down,experience pain,jump up and down,Intrinsic,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_22,become hungry,take a walk,experience pain,Direct,100,0.14,0.79,0.65,0.72,0.49,-0.22
subj_22,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_22,get tired,jump up and down,feel scared,Direct,100,0.04,0.78,0.73,0.47,0.5,0.03
subj_22,get tired,jump up and down,feel scared,Intrinsic,24,0.04,0.78,0.73,0.47,0.5,0.03
subj_22,see something,take a walk,hear something,Direct,100,0.17,0.86,0.69,0.46,0.05,-0.41
subj_22,see something,take a walk,hear something,Intrinsic,65,0.17,0.86,0.69,0.46,0.05,-0.41
subj_22,take a walk,think about something,jump up and down,Direct,75,0.25,0.86,0.61,0.76,0.17,-0.59
subj_22,take a walk,think about something,jump up and down,Intrinsic,18,0.25,0.86,0.61,0.76,0.17,-0.59
subj_22,reach for something,become hungry,kick something,Direct,73,0.18,0.83,0.65,0.62,0.49,-0.14
subj_22,reach for something,become hungry,kick something,Intrinsic,21,0.18,0.83,0.65,0.62,0.49,-0.14
subj_22,jump up and down,think about something,sit down,Direct,100,0.39,0.99,0.6,1,0.3,-0.7
subj_22,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_22,feel scared,see something,become hungry,Direct,100,0.06,0.78,0.71,0.63,0.58,-0.05
subj_22,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_22,hear something,take a walk,see something,Direct,51,0.23,0.86,0.62,0.49,0.05,-0.44
subj_22,hear something,take a walk,see something,Intrinsic,49,0.23,0.86,0.62,0.49,0.05,-0.44
subj_22,get sick,see something,get tired,Direct,24,0.4,0.95,0.55,0.42,0.37,-0.06
subj_22,get sick,see something,get tired,Intrinsic,23,0.4,0.95,0.55,0.42,0.37,-0.06
subj_23,become hungry,take a walk,experience pain,Direct,92,0.14,0.79,0.65,0.72,0.49,-0.22
subj_23,become hungry,take a walk,experience pain,Intrinsic,16,0.14,0.79,0.65,0.72,0.49,-0.22
subj_23,see something,take a walk,hear something,Direct,90,0.17,0.86,0.69,0.46,0.05,-0.41
subj_23,see something,take a walk,hear something,Intrinsic,91,0.17,0.86,0.69,0.46,0.05,-0.41
subj_23,sit down,experience pain,jump up and down,Direct,94,0.08,0.87,0.79,0.61,0.3,-0.31
subj_23,sit down,experience pain,jump up and down,Intrinsic,13,0.08,0.87,0.79,0.61,0.3,-0.31
subj_23,experience pain,kick something,feel scared,Direct,98,0.07,0.72,0.65,0.34,0.32,-0.02
subj_23,experience pain,kick something,feel scared,Intrinsic,27,0.07,0.72,0.65,0.34,0.32,-0.02
subj_23,kick something,think about something,jump up and down,Direct,92,0.4,0.9,0.5,0.61,0.26,-0.35
subj_23,kick something,think about something,jump up and down,Intrinsic,29,0.4,0.9,0.5,0.61,0.26,-0.35
subj_23,remember something,take a walk,think about something,Direct,69,0.22,0.91,0.69,0,0,0
subj_23,remember something,take a walk,think about something,Intrinsic,94,0.22,0.91,0.69,0,0,0
subj_23,feel scared,see something,become hungry,Direct,97,0.06,0.78,0.71,0.63,0.58,-0.05
subj_23,feel scared,see something,become hungry,Intrinsic,7,0.06,0.78,0.71,0.63,0.58,-0.05
subj_23,reach for something,become hungry,kick something,Direct,79,0.18,0.83,0.65,0.62,0.49,-0.14
subj_23,reach for something,become hungry,kick something,Intrinsic,51,0.18,0.83,0.65,0.62,0.49,-0.14
subj_23,get tired,jump up and down,feel scared,Direct,97,0.04,0.78,0.73,0.47,0.5,0.03
subj_23,get tired,jump up and down,feel scared,Intrinsic,18,0.04,0.78,0.73,0.47,0.5,0.03
subj_23,jump up and down,think about something,sit down,Direct,63,0.39,0.99,0.6,1,0.3,-0.7
subj_23,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_23,think about something,take a walk,remember something,Direct,89,0.15,0.86,0.72,0.01,0,-0.01
subj_23,think about something,take a walk,remember something,Intrinsic,50,0.15,0.86,0.72,0.01,0,-0.01
subj_23,take a walk,think about something,jump up and down,Direct,56,0.25,0.86,0.61,0.76,0.17,-0.59
subj_23,take a walk,think about something,jump up and down,Intrinsic,3,0.25,0.86,0.61,0.76,0.17,-0.59
subj_23,get sick,see something,get tired,Direct,91,0.4,0.95,0.55,0.42,0.37,-0.06
subj_23,get sick,see something,get tired,Intrinsic,21,0.4,0.95,0.55,0.42,0.37,-0.06
subj_23,hear something,take a walk,see something,Direct,60,0.23,0.86,0.62,0.49,0.05,-0.44
subj_23,hear something,take a walk,see something,Intrinsic,1,0.23,0.86,0.62,0.49,0.05,-0.44
subj_23,choose what to do,feel scared,remember something,Direct,74,0.16,0.78,0.62,0.1,0.42,0.32
subj_23,choose what to do,feel scared,remember something,Intrinsic,96,0.16,0.78,0.62,0.1,0.42,0.32
subj_24,take a walk,think about something,jump up and down,Direct,2,0.25,0.86,0.61,0.76,0.17,-0.59
subj_24,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_24,feel scared,see something,become hungry,Direct,98,0.06,0.78,0.71,0.63,0.58,-0.05
subj_24,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_24,become hungry,take a walk,experience pain,Direct,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_24,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_24,see something,take a walk,hear something,Direct,26,0.17,0.86,0.69,0.46,0.05,-0.41
subj_24,see something,take a walk,hear something,Intrinsic,29,0.17,0.86,0.69,0.46,0.05,-0.41
subj_24,kick something,think about something,jump up and down,Direct,0,0.4,0.9,0.5,0.61,0.26,-0.35
subj_24,kick something,think about something,jump up and down,Intrinsic,0,0.4,0.9,0.5,0.61,0.26,-0.35
subj_24,experience pain,kick something,feel scared,Direct,79,0.07,0.72,0.65,0.34,0.32,-0.02
subj_24,experience pain,kick something,feel scared,Intrinsic,0,0.07,0.72,0.65,0.34,0.32,-0.02
subj_24,get sick,see something,get tired,Direct,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_24,get sick,see something,get tired,Intrinsic,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_24,remember something,take a walk,think about something,Direct,0,0.22,0.91,0.69,0,0,0
subj_24,remember something,take a walk,think about something,Intrinsic,100,0.22,0.91,0.69,0,0,0
subj_24,think about something,take a walk,remember something,Direct,0,0.15,0.86,0.72,0.01,0,-0.01
subj_24,think about something,take a walk,remember something,Intrinsic,100,0.15,0.86,0.72,0.01,0,-0.01
subj_24,get tired,jump up and down,feel scared,Direct,82,0.04,0.78,0.73,0.47,0.5,0.03
subj_24,get tired,jump up and down,feel scared,Intrinsic,0,0.04,0.78,0.73,0.47,0.5,0.03
subj_24,reach for something,become hungry,kick something,Direct,99,0.18,0.83,0.65,0.62,0.49,-0.14
subj_24,reach for something,become hungry,kick something,Intrinsic,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_24,sit down,experience pain,jump up and down,Direct,50,0.08,0.87,0.79,0.61,0.3,-0.31
subj_24,sit down,experience pain,jump up and down,Intrinsic,0,0.08,0.87,0.79,0.61,0.3,-0.31
subj_24,hear something,take a walk,see something,Direct,0,0.23,0.86,0.62,0.49,0.05,-0.44
subj_24,hear something,take a walk,see something,Intrinsic,48,0.23,0.86,0.62,0.49,0.05,-0.44
subj_24,jump up and down,think about something,sit down,Direct,50,0.39,0.99,0.6,1,0.3,-0.7
subj_24,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_24,choose what to do,feel scared,remember something,Direct,0,0.16,0.78,0.62,0.1,0.42,0.32
subj_24,choose what to do,feel scared,remember something,Intrinsic,100,0.16,0.78,0.62,0.1,0.42,0.32
subj_25,kick something,think about something,jump up and down,Direct,0,0.4,0.9,0.5,0.61,0.26,-0.35
subj_25,kick something,think about something,jump up and down,Intrinsic,51,0.4,0.9,0.5,0.61,0.26,-0.35
subj_25,get tired,jump up and down,feel scared,Direct,50,0.04,0.78,0.73,0.47,0.5,0.03
subj_25,get tired,jump up and down,feel scared,Intrinsic,0,0.04,0.78,0.73,0.47,0.5,0.03
subj_25,sit down,experience pain,jump up and down,Direct,100,0.08,0.87,0.79,0.61,0.3,-0.31
subj_25,sit down,experience pain,jump up and down,Intrinsic,0,0.08,0.87,0.79,0.61,0.3,-0.31
subj_25,hear something,take a walk,see something,Direct,0,0.23,0.86,0.62,0.49,0.05,-0.44
subj_25,hear something,take a walk,see something,Intrinsic,0,0.23,0.86,0.62,0.49,0.05,-0.44
subj_25,reach for something,become hungry,kick something,Direct,22,0.18,0.83,0.65,0.62,0.49,-0.14
subj_25,reach for something,become hungry,kick something,Intrinsic,24,0.18,0.83,0.65,0.62,0.49,-0.14
subj_25,get sick,see something,get tired,Direct,24,0.4,0.95,0.55,0.42,0.37,-0.06
subj_25,get sick,see something,get tired,Intrinsic,50,0.4,0.95,0.55,0.42,0.37,-0.06
subj_25,remember something,take a walk,think about something,Direct,23,0.22,0.91,0.69,0,0,0
subj_25,remember something,take a walk,think about something,Intrinsic,100,0.22,0.91,0.69,0,0,0
subj_25,jump up and down,think about something,sit down,Direct,0,0.39,0.99,0.6,1,0.3,-0.7
subj_25,jump up and down,think about something,sit down,Intrinsic,0,0.39,0.99,0.6,1,0.3,-0.7
subj_25,take a walk,think about something,jump up and down,Direct,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_25,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_25,see something,take a walk,hear something,Direct,100,0.17,0.86,0.69,0.46,0.05,-0.41
subj_25,see something,take a walk,hear something,Intrinsic,0,0.17,0.86,0.69,0.46,0.05,-0.41
subj_25,think about something,take a walk,remember something,Direct,26,0.15,0.86,0.72,0.01,0,-0.01
subj_25,think about something,take a walk,remember something,Intrinsic,100,0.15,0.86,0.72,0.01,0,-0.01
subj_25,experience pain,kick something,feel scared,Direct,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_25,experience pain,kick something,feel scared,Intrinsic,0,0.07,0.72,0.65,0.34,0.32,-0.02
subj_25,feel scared,see something,become hungry,Direct,51,0.06,0.78,0.71,0.63,0.58,-0.05
subj_25,feel scared,see something,become hungry,Intrinsic,0,0.06,0.78,0.71,0.63,0.58,-0.05
subj_25,become hungry,take a walk,experience pain,Direct,24,0.14,0.79,0.65,0.72,0.49,-0.22
subj_25,become hungry,take a walk,experience pain,Intrinsic,0,0.14,0.79,0.65,0.72,0.49,-0.22
subj_25,choose what to do,feel scared,remember something,Direct,50,0.16,0.78,0.62,0.1,0.42,0.32
subj_25,choose what to do,feel scared,remember something,Intrinsic,100,0.16,0.78,0.62,0.1,0.42,0.32
subj_26,get tired,jump up and down,feel scared,Direct,50,0.04,0.78,0.73,0.47,0.5,0.03
subj_26,get tired,jump up and down,feel scared,Intrinsic,8,0.04,0.78,0.73,0.47,0.5,0.03
subj_26,kick something,think about something,jump up and down,Direct,8,0.4,0.9,0.5,0.61,0.26,-0.35
subj_26,kick something,think about something,jump up and down,Intrinsic,12,0.4,0.9,0.5,0.61,0.26,-0.35
subj_26,sit down,experience pain,jump up and down,Direct,57,0.08,0.87,0.79,0.61,0.3,-0.31
subj_26,sit down,experience pain,jump up and down,Intrinsic,4,0.08,0.87,0.79,0.61,0.3,-0.31
subj_26,get sick,see something,get tired,Direct,50,0.4,0.95,0.55,0.42,0.37,-0.06
subj_26,get sick,see something,get tired,Intrinsic,13,0.4,0.95,0.55,0.42,0.37,-0.06
subj_26,choose what to do,feel scared,remember something,Direct,47,0.16,0.78,0.62,0.1,0.42,0.32
subj_26,choose what to do,feel scared,remember something,Intrinsic,61,0.16,0.78,0.62,0.1,0.42,0.32
subj_26,reach for something,become hungry,kick something,Direct,50,0.18,0.83,0.65,0.62,0.49,-0.14
subj_26,reach for something,become hungry,kick something,Intrinsic,0,0.18,0.83,0.65,0.62,0.49,-0.14
subj_26,think about something,take a walk,remember something,Direct,21,0.15,0.86,0.72,0.01,0,-0.01
subj_26,think about something,take a walk,remember something,Intrinsic,85,0.15,0.86,0.72,0.01,0,-0.01
subj_26,hear something,take a walk,see something,Direct,12,0.23,0.86,0.62,0.49,0.05,-0.44
subj_26,hear something,take a walk,see something,Intrinsic,4,0.23,0.86,0.62,0.49,0.05,-0.44
subj_26,see something,take a walk,hear something,Direct,49,0.17,0.86,0.69,0.46,0.05,-0.41
subj_26,see something,take a walk,hear something,Intrinsic,25,0.17,0.86,0.69,0.46,0.05,-0.41
subj_26,take a walk,think about something,jump up and down,Direct,30,0.25,0.86,0.61,0.76,0.17,-0.59
subj_26,take a walk,think about something,jump up and down,Intrinsic,5,0.25,0.86,0.61,0.76,0.17,-0.59
subj_26,feel scared,see something,become hungry,Direct,64,0.06,0.78,0.71,0.63,0.58,-0.05
subj_26,feel scared,see something,become hungry,Intrinsic,2,0.06,0.78,0.71,0.63,0.58,-0.05
subj_26,become hungry,take a walk,experience pain,Direct,30,0.14,0.79,0.65,0.72,0.49,-0.22
subj_26,become hungry,take a walk,experience pain,Intrinsic,2,0.14,0.79,0.65,0.72,0.49,-0.22
subj_26,experience pain,kick something,feel scared,Direct,42,0.07,0.72,0.65,0.34,0.32,-0.02
subj_26,experience pain,kick something,feel scared,Intrinsic,23,0.07,0.72,0.65,0.34,0.32,-0.02
subj_26,remember something,take a walk,think about something,Direct,17,0.22,0.91,0.69,0,0,0
subj_26,remember something,take a walk,think about something,Intrinsic,63,0.22,0.91,0.69,0,0,0
subj_26,jump up and down,think about something,sit down,Direct,22,0.39,0.99,0.6,1,0.3,-0.7
subj_26,jump up and down,think about something,sit down,Intrinsic,1,0.39,0.99,0.6,1,0.3,-0.7
subj_27,experience pain,kick something,feel scared,Direct,100,0.07,0.72,0.65,0.34,0.32,-0.02
subj_27,experience pain,kick something,feel scared,Intrinsic,0,0.07,0.72,0.65,0.34,0.32,-0.02
subj_27,reach for something,become hungry,kick something,Direct,68,0.18,0.83,0.65,0.62,0.49,-0.14
subj_27,reach for something,become hungry,kick something,Intrinsic,24,0.18,0.83,0.65,0.62,0.49,-0.14
subj_27,sit down,experience pain,jump up and down,Direct,82,0.08,0.87,0.79,0.61,0.3,-0.31
subj_27,sit down,experience pain,jump up and down,Intrinsic,5,0.08,0.87,0.79,0.61,0.3,-0.31
subj_27,take a walk,think about something,jump up and down,Direct,7,0.25,0.86,0.61,0.76,0.17,-0.59
subj_27,take a walk,think about something,jump up and down,Intrinsic,0,0.25,0.86,0.61,0.76,0.17,-0.59
subj_27,get sick,see something,get tired,Direct,20,0.4,0.95,0.55,0.42,0.37,-0.06
subj_27,get sick,see something,get tired,Intrinsic,0,0.4,0.95,0.55,0.42,0.37,-0.06
subj_27,kick something,think about something,jump up and down,Direct,0,0.4,0.9,0.5,0.61,0.26,-0.35
subj_27,kick something,think about something,jump up and down,Intrinsic,50,0.4,0.9,0.5,0.61,0.26,-0.35
